name|effect
Absorb Bulb|A consumable bulb. If the holder is hit by a Water-type move, its Sp. Atk will rise.|
Adamant Orb|A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves.|
Air Balloon|When held by a Pokémon, the Pokémon will float into the air. When the holder is attacked, this item will burst.|
Amulet Coin|An item to be held by a Pokémon. It doubles a battle's prize money if the holding Pokémon joins in.|
Assault Vest|An item to be held by a Pokémon. This offensive vest raises Sp. Def but prevents the use of status moves.|
Berserk Gene|Boosts ATTACK but causes confusion.|
Big Root|A Pokémon held item that boosts the power of HP-stealing moves to let the holder recover more HP.|
Binding Band|A band that increases the power of binding moves when held.|
Black Belt|An item to be held by a Pokémon. It is a belt that boosts determination and Fighting-type moves.|
Black Sludge|A held item that gradually restores the HP of Poison-type Pokémon. It inflicts damage on all other types.|
BlackGlasses|An item to be held by a Pokémon. It is a shady-looking pair of glasses that boosts Dark-type moves.|
Blue Scarf|An item to be held by a Pokémon. It boosts the Beauty aspect of the holder in a Contest.|
BrightPowder|An item to be held by a Pokémon. It casts a tricky glare that lowers the opponent's accuracy.|
Bug Gem|A gem with an insect-like essence. When held, it strengthens the power of a Bug-type move only once.|
Burn Drive|A cassette to be held by Genesect. It changes Techno Blast to a Fire-type move.|
Cell Battery|A consumable battery. If the holder is hit by an Electric-type move, its Attack will rise.|
Charcoal|An item to be held by a Pokémon. It is a combustible fuel that boosts the power of Fire-type moves.|
Chill Drive|A cassette to be held by Genesect. It changes Techno Blast to an Ice-type move.|
Choice Band|An item to be held by a Pokémon. This headband ups Attack, but allows the use of only one of its moves.|
Choice Scarf|An item to be held by a Pokémon. This scarf boosts Speed, but allows the use of only one of its moves.|
Choice Specs|An item to be held by a Pokémon. These distinctive glasses boost Sp. Atk but allow the use of only one of its moves.|
Cleanse Tag|An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the first one in the party.|
Damp Rock|A Pokémon held item that extends the duration of the move Rain Dance used by the holder.|
Dark Gem|A gem with an essence of darkness. When held, it strengthens the power of a Dark-type move only once.|
DeepSeaScale|An item to be held by Clamperl. A scale that shines a faint pink, it raises the Sp. Def stat.|
DeepSeaTooth|An item to be held by Clamperl. A fang that gleams a sharp silver, it raises the Sp. Atk stat.|
Destiny Knot|A long, thin, bright-red string to be held by a Pokémon. If the holder becomes infatuated, the foe does too.|
Douse Drive|A cassette to be held by Genesect. It changes Techno Blast to a Water-type move.|
Draco Plate|An item to be held by a Pokémon. It is a stone tablet that boosts the power of Dragon-type moves.|
Dragon Fang|An item to be held by a Pokémon. It is a hard and sharp fang that ups the power of Dragon-type moves.|
Dragon Gem|A gem with a draconic essence. When held, it strengthens the power of a Dragon-type move only once.|
Dread Plate|An item to be held by a Pokémon. It is a stone tablet that boosts the power of Dark-type moves.|
Dubious Disc|A transparent device overflowing with dubious data. Its producer is unknown.|
Earth Plate|An item to be held by a Pokémon. It is a stone tablet that boosts the power of Ground-type moves.|
Eject Button|If the holder is hit by an attack, it will switch with another Pokémon in your party.|
Electirizer|A box packed with a tremendous amount of electric energy. It is loved by a certain Pokémon.|
Electric Gem|A gem with an essence of electricity. When held, it strengthens the power of an Electric-type move only once.|
Everstone|An item to be held by a Pokémon. The Pokémon holding this peculiar stone is prevented from evolving.|
Eviolite|A mysterious evolutionary lump. When held, it raises the Defense and Sp. Def of a Pokémon that can still evolve.|
Exp. Share|An item to be held by a Pokémon. The holder gets a share of a battle's Exp. Points without battling.|
Expert Belt|An item to be held by a Pokémon. It is a well-worn belt that slightly boosts the power of supereffective moves.|
Fighting Gem|A gem with an essence of combat. When held, it strengthens the power of a Fighting-type move only once.|
Fire Gem|A gem with an essence of fire. When held, it strengthens the power of a Fire-type move only once.|
Fist Plate|An item to be held by a Pokémon. It is a stone tablet that boosts the power of Fighting-type moves.|
Flame Orb|An item to be held by a Pokémon. It is a bizarre orb that inflicts a burn on the holder in battle.|
Flame Plate|An item to be held by a Pokémon. It is a stone tablet that boosts the power of Fire-type moves.|
Float Stone|A very light stone. It reduces the weight of a Pokémon when held.|
Flying Gem|A gem with an essence of air. When held, it strengthens the power of a Flying-type move only once.|
Focus Band|An item to be held by a Pokémon. The holder may endure a potential KO attack, leaving it with just 1 HP.|
Focus Sash|An item to be held by a Pokémon. If it has full HP, the holder will endure one potential KO attack, leaving 1 HP.|
Full Incense|An item to be held by a Pokémon. It is an exotic-smelling incense that makes the holder bloated and slow moving.|
Ghost Gem|A gem with a spectral essence. When held, it strengthens the power of a Ghost-type move only once.|
Grass Gem|A gem with an essence of nature. When held, it strengthens the power of a Grass-type move only once.|
Green Scarf|An item to be held by a Pokémon. It boosts the Smart aspect of the holder in a Contest.|
Grip Claw|A Pokémon held item that extends the duration of multiturn attacks like Bind and Wrap.|
Griseous Orb|A glowing orb to be held by Giratina. It boosts the power of Dragon- and Ghost-type moves.|
Ground Gem|A gem with an essence of land. When held, it strengthens the power of a Ground-type move only once.|
Hard Stone|An item to be held by a Pokémon. It is an unbreakable stone that ups the power of Rock-type moves.|
Heat Rock|A Pokémon held item that extends the duration of the move Sunny Day used by the holder.|
Ice Gem|A gem with an essence of ice. When held, it strengthens the power of an Ice-type move only once.|
Icicle Plate|An item to be held by a Pokémon. It is a stone tablet that boosts the power of Ice-type moves.|
